Name,Emp ID,Designation,Branch,Email,Mobile
Dr. Amit Sharma,EMP001,Professor,CSE,amit.sharma@mgmcen.ac.in,9876543210
Dr. Neha Verma,EMP002,Associate Professor,IT,neha.verma@mgmcen.ac.in,9876543211
Mr. Raj Patel,EMP003,Assistant Professor,ECE,raj.patel@mgmcen.ac.in,9876543212
Ms. Sneha Kulkarni,EMP004,Assistant Professor,Mechanical,sneha.kulkarni@mgmcen.ac.in,9876543213
Dr. Kiran Joshi,EMP005,Professor,Civil,kiran.joshi@mgmcen.ac.in,9876543214
Mr. Rahul Singh,EMP006,Assistant Professor,CSE,rahul.singh@mgmcen.ac.in,9876543215
Ms. Pooja Mehta,EMP007,Lecturer,IT,pooja.mehta@mgmcen.ac.in,9876543216
Dr. Anil Kumar,EMP008,Professor,ECE,anil.kumar@mgmcen.ac.in,9876543217
Ms. Ritu Jain,EMP009,Assistant Professor,Mechanical,ritu.jain@mgmcen.ac.in,9876543218
Mr. Suresh Nair,EMP010,Lecturer,Civil,suresh.nair@mgmcen.ac.in,9876543219
Dr. Meena Iyer,EMP011,Associate Professor,CSE,meena.iyer@mgmcen.ac.in,9876543220
Mr. Vikram Desai,EMP012,Assistant Professor,IT,vikram.desai@mgmcen.ac.in,9876543221
Ms. Kavita Shah,EMP013,Lecturer,ECE,kavita.shah@mgmcen.ac.in,9876543222
Dr. Sanjay Gupta,EMP014,Professor,Mechanical,sanjay.gupta@mgmcen.ac.in,9876543223
Mr. Deepak Yadav,EMP015,Assistant Professor,Civil,deepak.yadav@mgmcen.ac.in,9876543224
Ms. Anjali Roy,EMP016,Lecturer,CSE,anjali.roy@mgmcen.ac.in,9876543225
Dr. Rakesh Mishra,EMP017,Associate Professor,IT,rakesh.mishra@mgmcen.ac.in,9876543226
Ms. Priya Kapoor,EMP018,Assistant Professor,ECE,priya.kapoor@mgmcen.ac.in,9876543227
Mr. Arjun Das,EMP019,Lecturer,Mechanical,arjun.das@mgmcen.ac.in,9876543228
Dr. Sunita Reddy,EMP020,Professor,Civil,sunita.reddy@mgmcen.ac.in,9876543229
